cert,rcon2200_total_deposits,riad4073_total_interest_expense,riad4079_total_noninterest_income,riad4093_total_noninterest_expense,riad4107_total_interest_income,riad4340_net_income,riad4135_salaries_and_employee_benefits,n_missing,riad4092_other_noninterest_expense,riad4518_other_interest_income,name,asset,age,roa,roe,offices,specialization,bank_class,riad3196_relzd_gains(loss)_on_avl-fr-sle_secs,rconk115_ln_rstr_secd_nonfarm_own_pd_90
15519,135093,834,395,2857,6929,3453,1669,252,1000,0,Citizens State Bank,149385,81.83013698630137,2.58,26.17,2,Commercial Lending Specialization,NM,0,0
4134,52486,135,410,1515,2495,705,712,252,749,30,The First National Bank of Lindsay,59594,117.18904109589042,1.24,10.66,1,Commercial Lending Specialization,N,7,0
18019,106171,605,688,3948,5328,1366,2370,259,975,10,Patriots Bank,122728,120.43835616438356,1.16,12.35,6,Commercial Lending Specialization,NM,8,0
26967,314641,4115,7725,13556,17699,7073,9760,257,3360,10,Texas Bank Financial,348428,31.93972602739726,2.39,24.52,5,Mortgage Lending Specialization,NM,0,0
9102,14394,17,53,411,487,100,235,252,126,0,Rowley Savings Bank,15780,105.43013698630136,0.61,7.72,1,Other Specialized Lending < 1 Billion,NM,0,0
21163,125852,230,888,4625,5805,1808,2412,218,1601,13,Crews Bank & Trust,143570,45.84931506849315,1.25,10.96,2,Commercial Lending Specialization,NM,-30,0
22460,142046,763,816,6882,6793,-96,3443,259,2767,74,Monterey County Bank,163144,42.04657534246575,-0.06,-0.62,4,Commercial Lending Specialization,NM,56,0
10497,110904,833,519,2476,5361,2348,1442,252,708,6,Iowa State Bank,127609,93.18356164383562,1.88,15.02,3,Agricultural  Specialization,NM,0,0
15990,543381,1174,4410,16637,23928,7556,9894,250,5317,0,Watertown Savings Bank,654762,125.44109589041096,1.15,7.75,10,Commercial Lending Specialization,SB,-122,0
3814,304495,3373,987,6794,13275,2879,3756,192,2319,0,The City National Bank of Metropolis,380466,110.93698630136986,0.73,6.26,2,All Other Specialization  < 1 Billion,N,90,0
4536,1660062,6447,24975,41409,62184,29470,19544,185,17724,94,Central Bank of Boone County,2066454,162.46575342465752,1.56,17.33,16,Commercial Lending Specialization,SM,-40,0
8196,32546,76,60,438,667,186,243,252,123,1,First State Bank of Ashby,36989,118.94246575342466,0.52,5.06,1,Agricultural  Specialization,NM,0,0
26363,166173,3223,449,5981,12134,2790,3964,218,1094,74,Community Commerce Bank,259380,42.63835616438356,1.18,5.28,4,Commercial Lending Specialization,NM,0,0
14134,537525,2640,6245,23039,23430,4097,13258,252,6521,467,Passumpsic Savings Bank,650505,166.32054794520548,0.64,5.29,13,Consumer Lending Specialization,SB,1514,0
16375,333063,715,9361,17433,13427,4270,11051,250,4908,11,HomeStar Bank and Financial Services,375445,73.26301369863013,1.17,15.34,5,Commercial Lending Specialization,NM,-14,0
23086,347320,5553,238,12011,24062,4474,8600,192,2523,246,"New OMNI Bank, National Association",447676,39.271232876712325,1.01,7.53,3,Commercial Lending Specialization,N,0,0
9947,59885,183,137,1347,2195,587,818,252,409,2,Valley Exchange Bank,67676,136.44931506849315,0.88,7.82,2,Agricultural  Specialization,NM,0,0
4236,267486,1104,2202,9982,13818,4606,6338,252,2703,24,"Shamrock Bank, N.A.",304544,95.42465753424658,1.49,12.82,7,Commercial Lending Specialization,N,-8,0
18089,25473,51,199,1029,1134,205,527,252,400,0,The Piqua State Bank,28520,109.43287671232876,0.69,7.33,3,Agricultural  Specialization,NM,1,0
9064,301773,1341,7318,16061,14157,3559,10090,218,3867,0,Planters First Bank,333612,123.44109589041096,1.08,12.63,9,Commercial Lending Specialization,NM,0,0
19540,151233,1440,772,4329,6943,1740,2706,218,1049,43,Pioneer Bank,182842,112.43561643835616,0.99,10.96,5,Commercial Lending Specialization,NM,-1,0
26403,297077,238,4461,14363,14737,3697,9455,250,3326,11,Bank of Idaho,334273,33.64931506849315,1.14,11.58,9,Commercial Lending Specialization,NM,25,0
30530,437408,3751,2225,15033,21646,4187,8127,250,4573,110,Lake Shore Savings Bank,545692,128.44383561643835,0.78,5.59,12,Commercial Lending Specialization,SA,145,0
15970,774562,4314,13290,34933,31710,3789,18920,192,11008,120,Ulster Savings Bank,896328,168.1917808219178,0.44,3.94,14,Commercial Lending Specialization,SB,0,0
18930,99538,239,376,2075,2960,763,1130,257,781,6,Bank of Belle Glade,108494,55.52876712328767,0.71,9.02,1,Other Specialized Lending < 1 Billion,NM,0,0
10471,16851,114,79,593,609,-54,397,211,175,2,Camp Grove State Bank,19342,117.43835616438356,-0.3,-2.14,1,Agricultural  Specialization,SM,0,0
18118,158293,1054,1099,4895,6109,1081,2654,211,1566,34,The Plains State Bank,207449,113.43561643835616,0.64,5.49,5,Commercial Lending Specialization,NM,0,0
16958,1726825,14063,7446,47362,82399,19794,29943,187,13264,164,Minnwest Bank,1987488,78.03287671232877,1.1,10.29,33,Agricultural  Specialization,NM,14,0
11557,216982,453,684,5164,8000,3043,2945,259,1721,0,First State Bank of Burnet,246255,110.62191780821918,1.24,10.56,3,Other Specialized Lending < 1 Billion,NM,-24,0
14136,143817,529,1055,6828,6721,220,3983,259,2014,32,Wells River Savings Bank,184353,127.44383561643835,0.13,1.17,6,Mortgage Lending Specialization,SB,-6,0
3818,71718,450,307,2595,3150,327,1405,259,939,0,The First Bank and Trust Company of Murphysboro,79969,130.44383561643835,0.41,5.07,2,Commercial Lending Specialization,NM,0,0
4539,339596,2043,2269,8580,15078,3738,5500,192,1899,51,Farmers Bank of Northern Missouri,388250,118.02465753424657,0.99,8.37,8,Agricultural  Specialization,SM,3,0
13669,58409,369,97,850,1823,696,476,252,244,29,Burton State Bank,66224,113.43561643835616,1.11,9.16,1,Other Specialized Lending < 1 Billion,NM,0,0
30544,699003,5496,2650,19631,32275,7781,9862,250,6425,344,Marquette Savings Bank,861086,111.43561643835616,0.91,5.15,12,Mortgage Lending Specialization,SB,39,0
26847,74847,527,412,2565,3992,1237,1467,257,945,0,The Chesapeake Bank & Trust Co.,107962,32.42739726027397,1.17,12.37,3,All Other Specialization  < 1 Billion,NM,0,0
29379,15311,74,75,906,614,-291,441,259,398,4,Sidney Federal Savings and Loan Association,16994,120.43835616438356,-1.73,-23.88,1,Mortgage Lending Specialization,SA,0,0
18677,57832,131,608,1931,2125,636,1191,252,489,6,The Security State Bank,63621,102.42739726027398,1.05,12.31,3,Other Specialized Lending < 1 Billion,NM,0,0
26392,10871,226,18673,11351,8751,11421,3226,186,7630,0,Deutsche Bank Trust Company Delaware,302990,33.61643835616438,3.71,3.95,1,All Other Specialization  < 1 Billion,NM,0,0
11175,28433,286,487,1866,2123,396,764,252,616,9,The First State Bank,41842,110.43287671232876,1.01,9.17,2,Agricultural  Specialization,NM,0,0
29384,127625,762,794,3443,4481,887,1628,259,1484,0,Peru Federal Savings Bank,148223,132.44657534246576,0.6,4.67,2,All Other Specialization  < 1 Billion,SA,0,0
2154,159333,169,1035,6223,7586,1291,3157,259,2362,0,The Geo. D. Warthen Bank,176179,148.45753424657534,0.72,8.67,2,Commercial Lending Specialization,NM,0,0
1746,60730,296,458,2559,2746,585,1411,259,915,11,Escambia County Bank,71799,95.42465753424658,0.81,5.42,1,Other Specialized Lending < 1 Billion,NM,0,0
13305,296255,1102,2485,10988,14859,5103,5899,252,3732,29,The New Washington State Bank,330114,111.25205479452055,1.58,16.03,8,Commercial Lending Specialization,NM,11,0
14051,73088,488,293,1834,3334,906,1122,252,547,0,Century Bank,90327,85.22465753424657,0.99,10.54,1,Agricultural  Specialization,NM,-5,0
19640,248719,541,9693,13267,7434,3004,3801,259,8000,3,Fort Hood National Bank,279861,52.602739726027394,1.09,14.01,9,All Other Specialization  < 1 Billion,N,-1,0
3018,19305,135,76,738,1161,217,390,252,224,6,The First National Bank of Fleming,22468,102.42739726027398,0.94,7.66,1,Agricultural  Specialization,N,0,0
